id,track_name,track_artist_name,artist_genres,artist_popularity,track_album_release_date,track_duration_ms,track_explicit,track_popularity,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_name_subjectivity,track_name_polarity
0hIGUS1PQbv5NIrHIf6Fza,Sweet Emotion,The Kooks,"['brighton indie', 'garage rock', 'modern rock', 'rock']",65,1388534400.0,308569,0,58,0.764,0.829,1,-5.261,1,0.0711,0.0459,0.000184,0.104,0.606,98.02,positive,medium
1YLJVmuzeM2YSUkCCaTNUB,Dog Days Are Over,Florence + The Machine,"['baroque pop', 'modern rock', 'uk alternative pop']",74,1230768000.0,251840,0,79,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,positive,high
5U6W1c8CAXf2Y5crVHereU,Válsamo,Ainda,['argentine indie'],47,1514764800.0,155542,0,45,0.456,0.187,6,-15.126,0,0.0608,0.869,0.00793,0.112,0.337,167.138,neutral,low
0bhWW1Bve1Ng6kEm8WjiQA,QUEREME,LOUTA,"['argentine alternative rock', 'argentine indie', 'electronica argentina', 'pop argentino']",52,1655337600.0,194840,0,68,0.795,0.625,7,-6.966,1,0.0751,0.151,0.0,0.128,0.715,99.991,negative,low
3ydweVPwq9PCEVJ8WwqT6u,Loco (Tu Forma De Ser),Los Auténticos Decadentes,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",65,614908800.0,313000,0,73,0.742,0.61,9,-7.596,1,0.0853,0.175,0.0,0.0493,0.722,113.281,neutral,low
0OTNHGKcqQbk51bOYe462Y,ULTRA SOLO,Polimá Westcoast,"['trap chileno', 'trap triste', 'urbano chileno']",68,1644796800.0,227220,0,76,0.802,0.846,1,-4.495,1,0.207,0.233,1.92e-05,0.114,0.26,109.982,negative,low
3jHBgKdLCf46aP3HRI0WYv,World's Smallest Violin,AJR,['pov: indie'],71,1616716800.0,180742,0,72,0.68,0.696,5,-6.977,1,0.051,0.116,0.0,0.607,0.684,115.962,positive,medium
5hMadRUTp4S3ewaJIaI7Qo,EL Gil De Tu Ex,Santaferia,['cumbia chilena'],59,1504828800.0,193826,0,64,0.773,0.771,7,-3.077,1,0.0423,0.486,1.25e-06,0.311,0.871,91.993,neutral,low
0HDO6JFfplYPrSWuufUosZ,Amour plastique,Videoclub,"['french indie pop', 'french synthpop']",55,1611878400.0,227026,0,62,0.696,0.354,6,-14.043,0,0.0353,0.767,0.00158,0.128,0.242,119.938,neutral,low
0Y5aFVwBrhIxljBtRXgCBN,No Hay Nadie Como Tú (feat. Café Tacuba),Calle 13,"['latin afrobeat', 'latin alternative', 'latin hip hop', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']",66,1216598400.0,293320,1,59,0.573,0.856,0,-5.754,1,0.199,0.0629,0.0,0.108,0.687,199.952,neutral,low
0p5aiL6Dt7NPzxcu615IEK,Maracuyá Con Mango,Sondelvalle,['cumbia chilena'],29,1414108800.0,154846,0,45,0.748,0.576,2,-5.789,1,0.0754,0.454,0.0,0.0628,0.926,90.863,neutral,low
199gJ6b1aihvmEqdQZr0qT,Aunque no sea conmigo (feat. Café Tacvba),Celso Piña,"['chicha', 'cumbia colombiana regia', 'latin alternative', 'mexican rock', 'rock en espanol']",55,984960000.0,213133,0,69,0.81,0.508,9,-9.062,1,0.0455,0.44,0.0,0.111,0.31,88.089,neutral,low
1nTzXNZCnZ0T7S8BqkL98r,how deep?,Tai Verdes,"['modern indie pop', 'singer-songwriter pop']",64,1663286400.0,154506,0,63,0.802,0.691,6,-6.973,0,0.0466,0.0989,2.29e-06,0.277,0.452,97.021,neutral,medium
6hf0RpxTbOprT5nnwzkk8e,Qué Más Pues?,J Balvin,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",84,1622160000.0,217773,0,74,0.891,0.819,8,-3.964,1,0.106,0.0261,0.000354,0.173,0.768,101.968,negative,low
6yLX8QnxlnEqZfs3YKCfjF,Tears Dry On Their Own,Amy Winehouse,"['british soul', 'neo soul']",72,1161907200.0,185186,1,65,0.643,0.871,1,-2.734,0,0.118,0.491,0.0,0.29,0.452,121.569,positive,medium
