id,track_duration_ms,track_key,track_mode,source_type,source_ref,artist_popularity,track_popularity,track_album_release_date,track_danceability,track_energy,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,normalized_views,normalized_likes
p3pEe6aAJ4k,219000,10,0,0,0,0.18800000000000003,0.18800000000000003,0.16498478498711278,0.1863688927901475,0.2,0.15129975903802037,0.09116894282752694,0.13850127592376738,0.0,0.05784060252995245,0.029309318357836685,0.07444168734491316,0.004886861379641121,0.00293543221788679
XqN2qFvY64U,204000,1,1,0,0,0.18600000000000003,0.18600000000000003,0.15809839971810638,0.1824040853835249,0.2,0.12366081667188629,0.08508511068806676,0.15739490219563154,0.0,0.018668921294872656,0.1585620445625332,0.06810035842293909,0.0041990801304481505,0.0036445828640382138
rBrd_3VMC3c,139000,0,1,0,0,0.18400000000000002,0.18400000000000002,0.1340320814687214,0.1419969562650166,0.06424665546711665,0.05021148545515404,0.09263064112005776,0.15985890449449003,0.0,0.013235364330840214,0.1423299533692665,0.026881720430107517,0.003969755031007463,0.0067037922603243
tNJhkrpLGT8,243000,10,0,0,0,0.18200000000000002,0.18200000000000002,0.1423266287707654,0.14698991843710071,0.2,0.12180330161026554,0.10511236671594629,0.1754654627517098,0.0,0.05392584126681954,0.055097453158374644,0.15053763440860216,0.003535349508859023,0.004955583030466357
VLLyzqkH6cs,229000,0,1,seed_query,file:data_extraction/seed_queries.txt,0.17800000000000002,0.17800000000000002,0.12900007062942143,0.0,0.07142506338663916,0.1868370925757482,0.0,0.0,0.2,0.2,0.11882038550250143,0.1099583059030064,0.002883809213309439,0.011402989236201559
vqkfEUqjl6Y,261000,4,1,0,0,0.17600000000000002,0.17600000000000002,0.19462157211191464,0.1726344671322332,0.2,0.14383472068111278,0.10156667087118104,0.15134207661704513,0.0,0.140396342851435,0.18154901841000817,0.12580645161290324,0.002411503124118622,0.004687363568112635
bzRMneypG04,296000,10,0,0,0,0.17400000000000002,0.17400000000000002,0.16664109524546733,0.15772249288858353,0.2,0.09780613219495166,0.08575091355384468,0.18519158189576002,0.0,0.02498784022549649,0.04907080263468585,0.13752122241086592,0.0021775568362898314,0.0016517676236229243
pQV0WEdT_OE,216000,0,1,0,0,0.17,0.17,0.12324100027737961,0.19220248965502057,0.2,0.1764625535861957,0.09827377584499747,0.16758602596424185,0.0,0.1181400286152412,0.17206714620885227,0.10557184750733138,0.0017636867864077033,0.003736728689776943
7sxVHYZ_PnA,352000,2,1,0,0,0.168,0.168,0.1942117840984981,0.17188635078693065,0.2,0.1358611785939054,0.07478602225745316,0.20000000000000007,0.0,0.14207263139417495,0.176651003168018,0.12580645161290324,0.0016265350232864317,0.007913974994421825
bNMI1_Nhy-0,215000,0,1,seed_query,file:data_extraction/seed_queries.txt,0.16600000000000004,0.16600000000000004,0.016889352294935468,0.0,0.07142506338663916,0.1868370925757482,0.0,0.0,0.2,0.2,0.11882038550250143,0.1099583059030064,0.0013338997275022116,0.0010515456971988378
lpl0GvwRNAs,303000,0,1,seed_query,file:data_extraction/seed_queries.txt,0.16400000000000003,0.16400000000000003,0.1140914893370681,0.0,0.07142506338663916,0.1868370925757482,0.0,0.0,0.2,0.2,0.11882038550250143,0.1099583059030064,0.0012615599036455583,0.0006444471200427178
JyGNABrosb8,302000,1,0,0,0,0.16400000000000003,0.16400000000000003,0.06909536583954248,0.1910474639209046,0.2,0.15415445339535427,0.101910469501231,0.1318836622385612,0.0,0.0695902554694187,0.04204733902382058,0.10557184750733138,0.0012557945301747235,0.0012944974320371176
hq0rZ3IiyWw,251000,11,1,0,0,0.16200000000000003,0.16200000000000003,0.05858662842572535,0.15647332671516032,0.2,0.15569221777837128,0.07181873367579704,0.15300540250000655,0.0,0.04917858116552413,0.14737913106469677,0.03812316715542522,0.0010787911840216117,0.001456936634903017
kwwdY1bp-Ck,190000,9,1,0,0,0.15800000000000003,0.15800000000000003,0.19436861700350372,0.17917114945741847,0.2,0.15170033437666355,0.10087293290120368,0.14550469005230343,0.0,0.05853588265070331,0.15975893987288503,0.06810035842293909,0.0009073098276858958,0.0013043030179525608
XvziPPpryv0,187000,0,1,seed_query,file:data_extraction/seed_queries.txt,0.15800000000000003,0.15800000000000003,0.13493273368409478,0.0,0.07142506338663916,0.1868370925757482,0.0,0.0,0.2,0.2,0.11882038550250143,0.1099583059030064,0.0008968354033883618,0.0012432148847460107
mxtfdH3-TQ4,155000,10,0,0,0,0.15600000000000003,0.15600000000000003,0.06438350739719745,0.13643730663938897,0.2,0.15011736716701407,0.08576042500899907,0.14676566139623698,0.0,0.020496950598090487,0.062292349092267045,0.1650853889943074,0.0007577531098515467,0.0007608467623722982
beLAh5dWSg4,266000,0,1,seed_query,file:data_extraction/seed_queries.txt,0.15400000000000003,0.15400000000000003,0.08676796428555429,0.0,0.07142506338663916,0.1868370925757482,0.0,0.0,0.2,0.2,0.11882038550250143,0.1099583059030064,0.0006802773270841885,0.0004028027966598306
44FId4BpMx0,216000,2,1,0,0,0.15400000000000003,0.15400000000000003,0.10339942529992047,0.19833510707005436,0.2,0.16158636247412383,0.043955301189781804,0.15561224765569492,0.0,0.017859584431850328,0.169860836093392,0.09677419354838712,0.0006679717931839832,0.001206754114260424
GDaPdpwA4Iw,281000,2,1,0,0,0.15000000000000002,0.15000000000000002,0.19439431390770362,0.1948134100238034,0.2,0.16842031278350006,0.13882726610355708,0.12198579285797835,0.0,0.10804623644439562,0.17324575013579863,0.09677419354838712,0.0005683030860733396,0.004943749622701734
9qkpcLK422o,185000,4,1,0,0,0.148,0.148,0.19471772031366444,0.13749219039894137,0.2,0.18103470834558402,0.09747651306095018,0.1337986772006862,0.0,0.09950771412063343,0.1972113215388278,0.1650853889943074,0.0005021610880323581,0.0031600535104831387
Jgq3DPuouJE,303000,9,1,0,0,0.148,0.148,0.06831768087487848,0.18015991174634755,0.2,0.11783864170259038,0.1024935484823168,0.12824565568566687,0.0,0.05518511071050491,0.16149627281914536,0.06810035842293909,0.0004964411962944439,0.0006066789381017388
1FVF-9KQiPo,360000,0,1,0,0,0.148,0.148,0.19469240038545924,0.17655869970915128,0.1562426506665213,0.07960706550345423,0.11485023728634472,0.14366821303270055,0.0,0.030747029317551123,0.17821130000124516,0.11520737327188942,0.0004885768972316321,0.005261063719298762
GJP9ZTsgxJs,193000,5,1,0,0,0.148,0.148,0.17285463703582185,0.1836298911139784,0.2,0.13616928237761924,0.08122238035165598,0.13740948905377892,0.0,0.05382513868681156,0.1605738208854939,0.06810035842293909,0.00048256118628868825,0.0005172813446059773
h7oSlZL0tEM,196000,1,1,0,0,0.146,0.146,0.18361623575321248,0.1364614259797616,0.2,0.1715756332587413,0.09620076312038825,0.12811915871106622,0.0,0.04893609332294379,0.19778303455482282,0.1650853889943074,0.0004686933924508657,0.0002748899289628659
V1Z586zoeeE,166000,11,1,0,0,0.144,0.144,0.15339885114053617,0.10784503769854631,0.2,0.18509757343382197,0.08645294822963423,0.16942487407792917,0.0,0.05959892378374002,0.19362510899240404,0.20000000000000007,0.0003995640714975925,0.002730902370717186
TBkpoTbJAsI,164000,6,0,0,0,0.144,0.144,0.16117056295218318,0.18908812946903147,0.2,0.15545091896695337,0.11583703675879542,0.15013712826456416,0.0,0.05192022608446876,0.030793840389637547,0.08129032258064517,0.00038506225854403447,0.0003887014302480981
fAuT8_dboWo,240000,7,1,0,0,0.142,0.142,0.12115794827438604,0.17595262506280296,0.2,0.12253229543232134,0.1135298344926698,0.15257343039709698,0.0,0.029886879022519637,0.15676394765097332,0.06221198156682028,0.0003556009022215119,0.0006229148538283978
3rg0p23brQ0,191000,7,1,0,0,0.14,0.14,0.19458489512312643,0.16796270558716986,0.2,0.1665578874628512,0.09041086172072654,0.13129972857258218,0.0,0.09871440549710339,0.18356652592742598,0.12580645161290324,0.0002993390588933733,0.002572345379417809
xKau76yc4HE,245000,0,1,seed_query,file:data_extraction/seed_queries.txt,0.136,0.136,0.10575678232206452,0.0,0.07142506338663916,0.1868370925757482,0.0,0.0,0.2,0.2,0.11882038550250143,0.1099583059030064,0.0002634182628203623,0.0005009520423467903
Q7j2riFSqnw,3715000,0,1,seed_query,config_query:global_pop_rotation,0.136,0.136,0.19147479222390995,0.0,0.07142506338663916,0.1868370925757482,0.0,0.0,0.2,0.2,0.11882038550250143,0.1099583059030064,0.0002612000886352522,0.0001484445639199131
LoElk8clGVg,180000,7,0,0,0,0.134,0.134,0.1946215738685596,0.12345284659747087,0.2,0.16775571371513193,0.08885016652401029,0.14289007839200693,0.0,0.05457474685695696,0.0,0.0,0.00022586801788610124,0.00257717479724283
WxKkHSfwN4c,166000,7,1,0,0,0.134,0.134,0.19442567037043013,0.18542904157662404,0.2,0.16634273428372795,0.10738822995560204,0.14604191731666485,0.0,0.10419044230610663,0.16481976032656942,0.08129032258064517,0.0002245173795652969,0.00031132401758201595
