id,track_name,track_artist_name,youtube_url,track_duration_ms,views,likes,track_album_release_date,track_album_type,track_album_name,artist_genres,artist_popularity,track_popularity,track_explicit,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,source_type,source_ref
Rn89mUndYbo,ABRACADABRA (LIVE AT THE 2026 GRAMMYS),LADY GAGA,https://youtube.com/watch?v=Rn89mUndYbo,256000,2117320,104158,2026-02-05T23:06:13Z,single,ABRACADABRA (LIVE AT THE 2026 GRAMMYS),[],66,66,False,0.9048140714592188,1.0,5,-20.405864715576172,0,0.413833920117609,0.7911037365109583,0.0,0.033231116598472,0.2897328770233562,129.19921875,,
4BvXZ4Gqnc0,Herencia De Grandes (Letra),Ya Borracho,https://youtube.com/watch?v=4BvXZ4Gqnc0,164000,1436747,3770,2026-02-04T17:03:20Z,single,Herencia De Grandes (Letra),[],63,63,False,0.886734563269255,1.0,11,-14.180790901184082,1,0.5231565620868353,0.8039322267245756,0.0,0.033713866956532,0.7014085212544715,135.99917763157896,,
9qkpcLK422o,IVE 아이브 'BANG BANG' MV,Unknown Artist,https://youtube.com/watch?v=9qkpcLK422o,185000,5343820,236870,2026-02-09T09:01:11Z,single,IVE 아이브 'BANG BANG' MV,[],74,74,False,0.8277879801968899,1.0,4,-10.739274978637695,1,0.5222617653747393,0.7688042718657839,0.0,0.101932062767446,0.7346793592201324,151.99908088235293,,
OJAnFWpxv8o,'Til You Can't,Unknown Artist,https://youtube.com/watch?v=OJAnFWpxv8o,310000,185313,25017,2026-02-08T10:04:33Z,single,'Til You Can't,[],45,45,False,0.8753674470518275,1.0,0,-21.73839569091797,1,0.5928841444283182,0.8165963105708689,0.0,0.0302970595657825,0.6995089086775276,135.99917763157896,,
iVLQ60L57z4,Double R,Real Boston Richey,https://youtube.com/watch?v=iVLQ60L57z4,231000,433131,12588,2026-02-04T08:14:46Z,single,Double R,[],52,52,False,0.7828941417068549,1.0,9,-18.137928009033203,1,0.6888640749521628,0.7131477289515529,0.0,0.1161843687295913,0.743027840657267,161.4990234375,,
sSUrYVBQegM,Manhattan II X MR GOAT (Video Oficial),Hades66,https://youtube.com/watch?v=sSUrYVBQegM,136000,1212795,67580,2026-02-06T01:00:07Z,single,Manhattan II X MR GOAT (Video Oficial),[],61,61,False,0.9358446701505768,1.0,2,-16.79852867126465,0,0.5656312180409004,0.7446458409970838,0.0,0.1967323683202266,0.2297093738504374,95.703125,,
XJj7pOeW2nA,LL Da Wizard,Montana 700,https://youtube.com/watch?v=XJj7pOeW2nA,135000,236324,9127,2026-02-05T21:45:07Z,single,LL Da Wizard,[],47,47,False,0.8930810291801159,1.0,0,-12.214763641357422,1,0.6428662686566848,0.7364419023117255,0.0,0.1795250549912452,0.6117993396532412,86.1328125,,
JiNxvNtlBPM,Body,Unknown Artist,https://youtube.com/watch?v=JiNxvNtlBPM,156000,1486298,42960,2026-01-29T23:54:17Z,single,Body,[],63,63,False,0.8604851476352662,1.0,0,-14.2431640625,0,0.7650188218286545,0.7367275372430444,0.0,0.1738627217710018,0.3266002444135433,143.5546875,,
SKs80r2Lp34,The Great Divide,Noah Kahan,https://youtube.com/watch?v=SKs80r2Lp34,346000,1037563,30449,2026-02-02T02:20:37Z,single,The Great Divide,[],60,60,False,0.871234101311255,0.2813753858208656,11,-31.829805374145508,1,0.4588607828906864,0.8394483285198979,0.0,0.0116464996244758,0.5855817741595153,80.74951171875,,
DHi8tNxsKT4,Los Despechaos (Video Oficial),"Dale Pututi, Nesty, Tito El Bambino",https://youtube.com/watch?v=DHi8tNxsKT4,193000,1002345,17514,2026-02-06T17:00:07Z,single,Los Despechaos (Video Oficial),[],60,60,False,0.9467284886221068,1.0,5,-16.282039642333984,1,0.5141358976361075,0.7654652133953418,0.0,0.0787656255997717,0.6700878884452443,117.45383522727272,,
nUaQMon-OXo,Me Niegas,Unknown Artist,https://youtube.com/watch?v=nUaQMon-OXo,202000,1562374,11180,2026-02-05T10:04:34Z,single,Me Niegas,[],63,63,False,0.758835656626513,1.0,10,-13.247360229492188,0,0.3882012722330102,0.7664367282609018,0.0,0.0979794478043913,0.3350344907608647,172.265625,,
